115,5102,NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES
116,5200,PSYCHOLOGY,,
117,5201,EDUCATIONAL PSYCHOLOGY,,
118,5202,CLINICAL PSYCHOLOGY,,
119,5203,COUNSELING PSYCHOLOGY,,
120,5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,,
121,5206,SOCIAL PSYCHOLOGY,,
122,5299,MISCELLANEOUS PSYCHOLOGY,,
123,5301,CRIMINAL JUSTICE AND FIRE PROTECTION,,
124,5401,PUBLIC ADMINISTRATION,,
125,5402,PUBLIC POLICY,,
126,5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,,
127,5404,SOCIAL WORK,,
128,5500,GENERAL SOCIAL SCIENCES,,
129,5501,ECONOMICS,,
130,5502,ANTHROPOLOGY AND ARCHEOLOGY,,
131,5503,CRIMINOLOGY,,
132,5504,GEOGRAPHY,,
133,5505,INTERNATIONAL RELATIONS,,
134,5506,POLITICAL SCIENCE AND GOVERNMENT,,
135,5507,SOCIOLOGY,,
136,5599,MISCELLANEOUS SOCIAL SCIENCES,,
137,5601,CONSTRUCTION SERVICES,,
138,5701,ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND
139,                ,PRODUCTION,,
140,5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,,
141,6000,FINE ARTS,,
142,6001,DRAMA AND THEATER ARTS,,
143,6002,MUSIC,,
144,6003,VISUAL AND PERFORMING ARTS,,
145,6004,COMMERCIAL ART AND GRAPHIC DESIGN,,
146,6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,,
147,6006,ART HISTORY AND CRITICISM,,
148,6007,STUDIO ARTS,,
149,6099,MISCELLANEOUS FINE ARTS,,
150,6100,GENERAL MEDICAL AND HEALTH SERVICES,,
151,6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,,
152,6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,,
153,6104,MEDICAL ASSISTING SERVICES,,
154,6105,MEDICAL TECHNOLOGIES TECHNICIANS,,
155,6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,,
